epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.4571,1.81629,3.5138,2.31013,0.00343,0.91034,0.09595,0.04449,1.40302,4.56793,2.67383,0.00025553,0.00025553,0.00025553
2,80.132,1.51805,3.14124,1.99498,0.00409,0.93103,0.14872,0.07596,1.34884,4.21834,2.35125,0.000511831,0.000511831,0.000511831
3,120.288,1.50867,2.95982,1.99717,0.38397,0.18877,0.13351,0.07291,2.07347,4.4827,2.8295,0.000757573,0.000757573,0.000757573
4,160.497,1.52497,2.76525,1.94248,0.29856,0.21633,0.07377,0.03513,2.47646,4.61769,3.18424,0.000992756,0.000992756,0.000992756
5,199.315,1.46329,2.70368,1.93031,0.33016,0.33137,0.14645,0.07545,1.8507,7.61413,2.67342,0.00102301,0.00102301,0.00102301
6,242.104,1.45728,2.65072,1.86089,0.23087,0.19034,0.03591,0.013,2.29206,6.59677,3.08316,0.00100101,0.00100101,0.00100101
7,283.105,1.37488,2.6101,1.8333,0.32408,0.48633,0.15445,0.10289,1.29096,5.47937,2.04303,0.000979013,0.000979013,0.000979013
8,320.983,1.3403,2.56193,1.77532,0.29619,0.35126,0.09299,0.04324,1.59606,4.11574,2.27459,0.000957015,0.000957015,0.000957015
9,358.137,1.19018,2.40398,1.6838,0.2972,0.39045,0.14143,0.06715,1.39013,3.77444,2.12675,0.000935018,0.000935018,0.000935018
10,395.32,1.29727,2.44349,1.75423,0.31776,0.6043,0.15641,0.09648,1.29183,3.54549,2.03837,0.00091302,0.00091302,0.00091302
11,431.761,1.23747,2.38833,1.70682,0.30367,0.61353,0.15484,0.11277,1.15898,3.33608,1.83097,0.000891022,0.000891022,0.000891022
12,468.023,1.19397,2.3801,1.66609,0.32509,0.56644,0.15833,0.12715,1.05023,3.85603,1.70596,0.000869024,0.000869024,0.000869024
13,503.722,1.21678,2.3203,1.68127,0.33013,0.33966,0.17557,0.14151,1.09769,3.85025,1.69076,0.000847026,0.000847026,0.000847026
14,539.844,1.26269,2.3463,1.72994,0.32419,0.63888,0.17686,0.14299,1.04616,3.22365,1.63706,0.000825029,0.000825029,0.000825029
15,575.981,1.23171,2.32008,1.72099,0.32014,0.70926,0.14427,0.10683,1.16945,3.18822,1.75645,0.000803031,0.000803031,0.000803031
16,611.615,1.13607,2.23422,1.62333,0.30817,0.70442,0.14193,0.10742,1.12476,2.98419,1.7191,0.000781033,0.000781033,0.000781033
17,653.666,1.2046,2.21691,1.68277,0.31156,0.70507,0.1526,0.11255,1.12292,2.87227,1.69262,0.000759035,0.000759035,0.000759035
