epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.3175,2.37133,3.89345,2.75245,0.00786,0.90579,0.10162,0.02624,2.29657,4.90262,3.09791,0.00021109,0.00021109,0.00021109
2,101.067,2.01008,3.44605,2.2307,0.00609,0.87398,0.08991,0.03523,1.89307,4.57943,2.58681,0.000424711,0.000424711,0.000424711
3,144.435,1.86706,3.17711,2.08702,0.51386,0.12395,0.11562,0.05058,1.92866,4.20211,2.43501,0.000629533,0.000629533,0.000629533
4,187.236,1.76224,2.80528,1.9594,0.53221,0.06433,0.09476,0.03041,2.20396,7.14977,3.23154,0.000825555,0.000825555,0.000825555
5,230.408,1.71257,2.72283,1.90018,0.03482,0.14498,0.01992,0.00503,3.43054,7.03302,4.32889,0.00101278,0.00101278,0.00101278
6,273.208,1.7163,2.67669,1.90683,0.43782,0.28241,0.05544,0.01404,2.48304,5.84013,3.01884,0.00100101,0.00100101,0.00100101
7,316.807,1.66959,2.54826,1.82758,0.06775,0.3483,0.06365,0.02277,2.13883,4.94199,2.62999,0.000979013,0.000979013,0.000979013
8,368.744,1.68282,2.56687,1.90217,0.40648,0.36066,0.27981,0.11261,1.83707,3.85698,2.48456,0.000957015,0.000957015,0.000957015
9,420.853,1.63954,2.41836,1.80511,0.18147,0.36623,0.16434,0.06312,1.50852,3.64553,2.00382,0.000935018,0.000935018,0.000935018
10,472.349,1.55158,2.25515,1.7727,0.45988,0.57107,0.52619,0.2414,1.45701,2.82677,1.91198,0.00091302,0.00091302,0.00091302
11,523.794,1.59205,2.24512,1.83622,0.68361,0.49978,0.58413,0.30336,1.31907,3.07636,1.72954,0.000891022,0.000891022,0.000891022
12,575.308,1.50194,2.05269,1.67672,0.23423,0.51576,0.27446,0.14223,1.546,2.96205,2.02669,0.000869024,0.000869024,0.000869024
13,626.906,1.52893,2.07466,1.75741,0.49271,0.48192,0.50782,0.27066,1.28227,2.86294,1.71536,0.000847026,0.000847026,0.000847026
14,678.656,1.46216,2.01329,1.65284,0.4515,0.54948,0.45426,0.21876,1.28178,2.6931,1.68749,0.000825029,0.000825029,0.000825029
15,730.802,1.43478,1.86555,1.63428,0.79621,0.67455,0.74612,0.4293,1.24933,2.01532,1.64209,0.000803031,0.000803031,0.000803031
16,782.672,1.48541,1.93726,1.71444,0.77783,0.7007,0.8442,0.43721,1.47112,1.93965,1.87713,0.000781033,0.000781033,0.000781033
17,834.836,1.45596,1.78807,1.65892,0.63022,0.53707,0.62095,0.33059,1.36984,2.2777,1.80395,0.000759035,0.000759035,0.000759035
18,886.527,1.42835,1.73751,1.6415,0.75772,0.66078,0.78493,0.44677,1.31495,2.01177,1.82401,0.000737037,0.000737037,0.000737037
19,938.488,1.38961,1.76991,1.62245,0.77489,0.62099,0.67535,0.44606,1.05655,2.03027,1.59837,0.00071504,0.00071504,0.00071504
20,983.747,1.39358,1.75416,1.62998,0.61818,0.69482,0.68644,0.39405,1.2597,2.12803,1.68328,0.000693042,0.000693042,0.000693042
21,1035.52,1.35873,1.6575,1.58869,0.71555,0.53934,0.61323,0.4294,1.04289,2.07786,1.46336,0.000671044,0.000671044,0.000671044
22,1089.84,1.34426,1.59412,1.58684,0.75379,0.66523,0.72429,0.52717,1.02899,1.77418,1.46013,0.000649046,0.000649046,0.000649046
23,1135.29,1.38348,1.66157,1.61258,0.59454,0.66335,0.6596,0.38921,1.27956,1.86595,1.65522,0.000627048,0.000627048,0.000627048
24,1179.19,1.29195,1.49941,1.52438,0.65074,0.61026,0.69221,0.46442,1.11255,1.80719,1.57078,0.000605051,0.000605051,0.000605051
25,1221.93,1.2803,1.46951,1.50734,0.6702,0.59812,0.66632,0.4208,1.1838,1.76516,1.67929,0.000583053,0.000583053,0.000583053
26,1264.44,1.32233,1.5508,1.56621,0.71609,0.70139,0.78086,0.53906,1.02962,1.69964,1.52207,0.000561055,0.000561055,0.000561055
27,1306.87,1.32237,1.53511,1.58469,0.79699,0.80842,0.8358,0.49072,1.26244,1.65642,1.6153,0.000539057,0.000539057,0.000539057
28,1349.47,1.3339,1.45369,1.57829,0.77853,0.84294,0.86571,0.60184,0.90308,1.46523,1.34849,0.000517059,0.000517059,0.000517059
29,1391.78,1.30574,1.40874,1.55414,0.82926,0.65879,0.7634,0.5412,0.95505,1.55713,1.43903,0.000495062,0.000495062,0.000495062
30,1437.02,1.27158,1.41616,1.51744,0.86498,0.80465,0.87654,0.62356,0.96037,1.30934,1.39754,0.000473064,0.000473064,0.000473064
31,1488.91,1.26449,1.38593,1.51359,0.74226,0.77683,0.8166,0.61377,0.90632,1.4615,1.32422,0.000451066,0.000451066,0.000451066
32,1531.86,1.26402,1.34335,1.52831,0.69619,0.79087,0.80606,0.60744,0.93112,1.4547,1.38299,0.000429068,0.000429068,0.000429068
33,1574.5,1.23304,1.31246,1.50035,0.83798,0.76035,0.80731,0.59396,0.94924,1.41011,1.41407,0.00040707,0.00040707,0.00040707
34,1617.23,1.21107,1.29549,1.49726,0.7857,0.69269,0.76027,0.53554,1.02376,1.55574,1.44452,0.000385073,0.000385073,0.000385073
35,1659.83,1.18879,1.28573,1.45983,0.67271,0.70754,0.70529,0.49526,1.0515,1.66784,1.47379,0.000363075,0.000363075,0.000363075
36,1702.45,1.21417,1.24926,1.48945,0.80886,0.80195,0.83914,0.62825,0.95367,1.35775,1.34526,0.000341077,0.000341077,0.000341077
37,1745.21,1.16887,1.25681,1.47511,0.70338,0.81068,0.75064,0.54032,1.01371,1.54731,1.44049,0.000319079,0.000319079,0.000319079
38,1796.88,1.17032,1.21027,1.44611,0.80435,0.81345,0.84629,0.64449,0.87942,1.32711,1.33523,0.000297081,0.000297081,0.000297081
39,1841.68,1.15614,1.18979,1.44147,0.80719,0.89538,0.87433,0.6695,0.87077,1.21848,1.31992,0.000275084,0.000275084,0.000275084
40,1884.09,1.14003,1.20215,1.42764,0.75504,0.81716,0.79749,0.61765,0.89678,1.36279,1.33301,0.000253086,0.000253086,0.000253086
41,1926.45,0.91644,1.23496,1.49768,0.8579,0.87019,0.88807,0.70868,0.84564,1.2152,1.29234,0.000231088,0.000231088,0.000231088
42,1968.77,0.88109,1.2014,1.50331,0.8497,0.87312,0.89044,0.71012,0.80883,1.17885,1.21177,0.00020909,0.00020909,0.00020909
