epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.9376,1.23864,3.28935,1.49196,0.00528,0.87321,0.02605,0.00547,2.74816,5.05306,4.59397,0.00021109,0.00021109,0.00021109
2,94.9675,1.17348,2.51277,1.44541,0.0041,0.61992,0.05702,0.00931,2.95218,4.99775,4.78836,0.000426141,0.000426141,0.000426141
3,138.115,1.16398,2.05932,1.44383,0.10909,0.24816,0.0968,0.02014,3.1627,4.71288,5.75543,0.000633859,0.000633859,0.000633859
4,181.017,1.19199,1.93003,1.45513,0.04601,0.10915,0.02805,0.00527,3.5115,6.14276,5.75948,0.000834244,0.000834244,0.000834244
5,223.896,1.19413,1.86674,1.41629,0.05587,0.18176,0.02958,0.00654,3.169,6.04068,5.22688,0.0010273,0.0010273,0.0010273
6,267.123,1.1663,1.7614,1.41979,0.09213,0.30955,0.06225,0.01195,3.12663,7.42075,5.24248,0.00101934,0.00101934,0.00101934
7,319.61,1.17704,1.67614,1.4052,0.08571,0.28827,0.06299,0.0118,3.10562,6.74348,5.08642,0.00100101,0.00100101,0.00100101
8,372.088,1.19675,1.65447,1.44856,0.0485,0.17464,0.04476,0.00794,3.24919,7.4491,5.57732,0.000982679,0.000982679,0.000982679
9,424.81,1.17377,1.55335,1.38418,0.16997,0.18265,0.09644,0.01879,3.09754,6.75625,5.32406,0.000964348,0.000964348,0.000964348
10,477.192,1.16798,1.51281,1.40413,0.10289,0.26762,0.07045,0.01449,3.41793,6.6534,6.86738,0.000946016,0.000946016,0.000946016
11,529.63,1.13676,1.44274,1.38716,0.11,0.1634,0.08249,0.01884,3.35022,6.81951,6.56965,0.000927685,0.000927685,0.000927685
12,581.843,1.10819,1.35082,1.32275,0.12022,0.17071,0.06079,0.01397,3.42966,5.81036,5.53047,0.000909353,0.000909353,0.000909353
13,634.349,1.08931,1.37335,1.36268,0.12291,0.21628,0.05905,0.01065,3.45079,6.02445,5.63525,0.000891022,0.000891022,0.000891022
14,686.606,1.09584,1.32156,1.3472,0.14959,0.17873,0.05884,0.01088,3.37237,6.34607,5.65722,0.000872691,0.000872691,0.000872691
15,738.754,1.10512,1.30848,1.3483,0.07697,0.21201,0.05116,0.01209,3.58489,6.23377,6.73282,0.000854359,0.000854359,0.000854359
16,790.572,1.0789,1.27852,1.34678,0.11152,0.17984,0.05558,0.0107,3.61519,5.62001,6.00596,0.000836027,0.000836027,0.000836027
17,842.37,1.08687,1.21524,1.29536,0.10018,0.19978,0.05469,0.0101,3.62337,6.89802,5.85063,0.000817696,0.000817696,0.000817696
18,894.051,1.04502,1.19428,1.30497,0.08335,0.24879,0.04724,0.00913,3.56305,5.72482,6.10645,0.000799365,0.000799365,0.000799365
19,945.874,1.07005,1.16124,1.30391,0.11857,0.28935,0.10449,0.01949,3.31794,5.16338,6.03062,0.000781033,0.000781033,0.000781033
20,997.801,1.07432,1.1919,1.32856,0.13546,0.17498,0.07443,0.01538,3.46947,5.54051,5.98164,0.000762702,0.000762702,0.000762702
21,1049.78,1.05509,1.12245,1.28306,0.12729,0.2009,0.08831,0.01694,3.36218,4.82248,5.49538,0.00074437,0.00074437,0.00074437
22,1101.9,1.02237,1.04486,1.27311,0.1254,0.29586,0.09218,0.01652,3.35319,5.74874,5.59372,0.000726038,0.000726038,0.000726038
23,1154.45,1.0156,1.05495,1.25388,0.13689,0.16498,0.07069,0.01447,3.57438,5.67389,6.14298,0.000707707,0.000707707,0.000707707
24,1206.24,1.00967,1.02334,1.26469,0.1005,0.22445,0.05583,0.01346,3.54274,7.11039,6.01236,0.000689376,0.000689376,0.000689376
25,1258.55,0.96677,1.00087,1.24281,0.12774,0.26747,0.07539,0.01444,3.48031,6.53772,6.13245,0.000671044,0.000671044,0.000671044
26,1310.69,0.98035,1.01883,1.2548,0.11997,0.19148,0.05859,0.0113,3.38676,5.23322,5.84489,0.000652712,0.000652712,0.000652712
27,1363.01,0.96951,0.93942,1.25161,0.1249,0.25955,0.07835,0.01517,3.42498,5.79817,6.21546,0.000634381,0.000634381,0.000634381
28,1414.16,0.95591,0.92837,1.24329,0.11917,0.27605,0.09184,0.01838,3.54534,4.48807,6.06969,0.000616049,0.000616049,0.000616049
